displayValue,id,headline,headlineV2/text
Agricultural Chemical Manufacturing,709,Agricultural Chemical Manufacturing,Agricultural Chemical Manufacturing
Insurance Agencies and Brokerages,1737,Insurance Agencies and Brokerages,Insurance Agencies and Brokerages
"Claims Adjusting, Actuarial Services",1738,"Claims Adjusting, Actuarial Services","Claims Adjusting, Actuarial Services"
Funds and Trusts,1742,Funds and Trusts,Funds and Trusts
Insurance and Employee Benefit Funds,1743,Insurance and Employee Benefit Funds,Insurance and Employee Benefit Funds
Pension Funds,1745,Pension Funds,Pension Funds
"Paint, Coating, and Adhesive Manufacturing",722,"Paint, Coating, and Adhesive Manufacturing","Paint, Coating, and Adhesive Manufacturing"
Trusts and Estates,1750,Trusts and Estates,Trusts and Estates
Soap and Cleaning Product Manufacturing,727,Soap and Cleaning Product Manufacturing,Soap and Cleaning Product Manufacturing
Real Estate and Equipment Rental Services,1757,Real Estate and Equipment Rental Services,Real Estate and Equipment Rental Services
Leasing Residential Real Estate,1759,Leasing Residential Real Estate,Leasing Residential Real Estate
Plastics and Rubber Product Manufacturing,743,Plastics and Rubber Product Manufacturing,Plastics and Rubber Product Manufacturing
Real Estate Agents and Brokers,1770,Real Estate Agents and Brokers,Real Estate Agents and Brokers
Equipment Rental Services,1779,Equipment Rental Services,Equipment Rental Services
Consumer Goods Rental,1786,Consumer Goods Rental,Consumer Goods Rental
Rubber Products Manufacturing,763,Rubber Products Manufacturing,Rubber Products Manufacturing
Clay and Refractory Products Manufacturing,773,Clay and Refractory Products Manufacturing,Clay and Refractory Products Manufacturing
